         116243000 function calls (85898801 primitive calls) in 28.932 seconds

   Ordered by: cumulative time
   List reduced from 1770 to 200 due to restriction <200>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       50    0.006    0.000    0.052    0.001 datetimes.py:156(should_cache)
       70    0.000    0.000    0.052    0.001 <frozen importlib._bootstrap>:809(module_from_spec)
       15    0.000    0.000    0.051    0.003 <frozen importlib._bootstrap_external>:1051(create_module)
       15    0.051    0.003    0.051    0.003 {built-in method _imp.create_dynamic}
    74023    0.021    0.000    0.051    0.000 missing.py:659(is_valid_na_for_dtype)
  300/199    0.002    0.000    0.049    0.000 managers.py:1506(insert)
  200/109    0.004    0.000    0.046    0.000 blocks.py:1211(where)
  268/264    0.002    0.000    0.044    0.000 base.py:486(__new__)
      150    0.000    0.000    0.044    0.000 base.py:4147(reindex)
33570/26030    0.031    0.000    0.043    0.000 generic.py:6208(__setattr__)
    22081    0.012    0.000    0.042    0.000 base.py:779(_view)
     3713    0.001    0.000    0.040    0.000 base.py:7919(ensure_index)
      715    0.001    0.000    0.037    0.000 portfolio_manager_array.py:364(record_portfolio_snapshot)
   100/73    0.000    0.000    0.036    0.000 base.py:7378(_cmp_method)
    36276    0.020    0.000    0.036    0.000 indexing.py:2780(check_dict_or_set_indexers)
   100/98    0.001    0.000    0.035    0.000 series.py:1070(__setitem__)
    76010    0.014    0.000    0.035    0.000 extension.py:70(fget)
        1    0.021    0.021    0.035    0.035 backtest_executor.py:561(_build_date_index)
   150/92    0.000    0.000    0.034    0.000 arraylike.py:60(__ge__)
   150/94    0.000    0.000    0.033    0.000 arraylike.py:52(__le__)
    10188    0.007    0.000    0.033    0.000 series.py:609(_constructor_from_mgr)
        1    0.000    0.000    0.032    0.032 dataset.py:1(<module>)
      450    0.000    0.000    0.032    0.000 config.py:143(get_option)
    74006    0.020    0.000    0.031    0.000 datetimes.py:593(tz)
      450    0.001    0.000    0.031    0.000 config.py:127(_get_single_key)
    74728    0.015    0.000    0.031    0.000 missing.py:97(isna)
  500/453    0.002    0.000    0.031    0.000 array_ops.py:294(comparison_op)
    23165    0.020    0.000    0.030    0.000 base.py:652(_simple_new)
      450    0.003    0.000    0.030    0.000 config.py:650(_select_options)
  405/401    0.000    0.000    0.027    0.000 series.py:6749(_arith_method)
  405/401    0.002    0.000    0.027    0.000 base.py:1633(_arith_method)
      100    0.000    0.000    0.027    0.000 thread.py:219(_adjust_thread_count)
       16    0.000    0.000    0.026    0.002 threading.py:975(start)
     15/9    0.000    0.000    0.026    0.003 <frozen importlib._bootstrap_external>:1059(exec_module)
     15/9    0.002    0.000    0.026    0.003 {built-in method _imp.exec_dynamic}
3529/3321    0.013    0.000    0.026    0.000 array.py:720(__getitem__)
        3    0.000    0.000    0.026    0.009 core.py:1(<module>)
        1    0.002    0.002    0.026    0.026 backtest_executor.py:542(_get_trading_calendar)
    21900    0.006    0.000    0.025    0.000 __init__.py:174(search)
     9885    0.009    0.000    0.025    0.000 blocks.py:639(copy)
    50/39    0.000    0.000    0.023    0.001 frame.py:6809(set_index)
    13083    0.005    0.000    0.023    0.000 generic.py:294(_from_mgr)
    50/43    0.000    0.000    0.023    0.001 data_loader.py:93(_load_from_precomputed)
  200/109    0.003    0.000    0.022    0.000 expressions.py:247(where)
     2595    0.008    0.000    0.022    0.000 managers.py:1188(iget)
  300/199    0.001    0.000    0.021    0.000 base.py:7143(insert)
2745/2685    0.003    0.000    0.021    0.000 base.py:5384(__getitem__)
    22021    0.008    0.000    0.020    0.000 __init__.py:330(_compile)
   150/92    0.000    0.000    0.020    0.000 {built-in method _operator.ge}
     44/2    0.000    0.000    0.020    0.010 {built-in method builtins.__import__}
        1    0.000    0.000    0.019    0.019 simple_data_service.py:1(<module>)
  300/199    0.001    0.000    0.019    0.000 string_arrow.py:255(insert)
  300/283    0.001    0.000    0.019    0.000 managers.py:2136(get_slice)
        1    0.006    0.006    0.019    0.019 backtest_executor.py:679(_extract_precomputed_signals_to_dict)
  300/199    0.001    0.000    0.018    0.000 base.py:2465(insert)
    14790    0.014    0.000    0.018    0.000 generic.py:258(__init__)
      350    0.001    0.000    0.018    0.000 datetimes.py:341(_from_sequence_not_strict)
  300/283    0.001    0.000    0.018    0.000 base.py:5434(_getitem_slice)
      715    0.017    0.000    0.018    0.000 portfolio_manager_array.py:79(get_portfolio_value_without_cost)
        1    0.000    0.000    0.017    0.017 fs.py:1(<module>)
    39387    0.009    0.000    0.017    0.000 series.py:789(_values)
    50/39    0.000    0.000    0.017    0.000 generic.py:4321(__delitem__)
  500/483    0.003    0.000    0.017    0.000 datetimelike.py:385(__getitem__)
    39421    0.011    0.000    0.017    0.000 common.py:377(apply_if_callable)
      730    0.015    0.000    0.017    0.000 portfolio_manager_array.py:124(positions_without_cost)
    74728    0.016    0.000    0.016    0.000 missing.py:180(_isna)
     4599    0.003    0.000    0.015    0.000 portfolio_manager_array.py:142(execute_signal)
       50    0.000    0.000    0.015    0.000 base.py:892(tolist)
       50    0.003    0.000    0.015    0.000 base.py:2433(tolist)
      150    0.000    0.000    0.014    0.000 datetimes.py:668(__new__)
     7540    0.003    0.000    0.014    0.000 generic.py:356(attrs)


